,artist id,artist popularity,genres,name,uri,url
68,085pc2PYOi8bGKj0PNjekA,76,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",will.i.am,spotify:artist:085pc2PYOi8bGKj0PNjekA,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA
69,37GUqxafAvAKGMZbXCUnmr,62,"['dance pop', 'europop', 'swedish pop']",Mohombi,spotify:artist:37GUqxafAvAKGMZbXCUnmr,https://open.spotify.com/artist/37GUqxafAvAKGMZbXCUnmr
71,2DlGxzQSjYe5N6G9nkYghR,79,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR
72,23zg3TcAtWQy7J6upgbUnj,83,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj
73,5yG7ZAZafVaAlMTeBybKAL,76,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']",Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,https://open.spotify.com/artist/5yG7ZAZafVaAlMTeBybKAL
74,3AQRLZ9PuTAozP28Skbq8V,80,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",The Script,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,https://open.spotify.com/artist/3AQRLZ9PuTAozP28Skbq8V
77,1SupJlEpv7RS2tPNRaHViT,92,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Nicky Jam,spotify:artist:1SupJlEpv7RS2tPNRaHViT,https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT
81,2JyWXPbkqI5ZJa3gwqVa0c,71,"['british soul', 'dance pop', 'pop', 'r&b', 'tropical house', 'urban contemporary']",Craig David,spotify:artist:2JyWXPbkqI5ZJa3gwqVa0c,https://open.spotify.com/artist/2JyWXPbkqI5ZJa3gwqVa0c
82,4Rxn7Im3LGfyRkY2FlHhWi,73,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,https://open.spotify.com/artist/4Rxn7Im3LGfyRkY2FlHhWi
83,2XnBwblw31dfGnspMIwgWz,72,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",Axwell /\ Ingrosso,spotify:artist:2XnBwblw31dfGnspMIwgWz,https://open.spotify.com/artist/2XnBwblw31dfGnspMIwgWz
