,album_type,id,image,name,release_date,total_tracks,uri,url
1187,album,7uGmyYwDFJbSc1xs4hkEs2,https://i.scdn.co/image/176c6c0b1bc701cc4c6c12582bcad6833ebb9346,Rated R,2009-11-20,13,spotify:album:7uGmyYwDFJbSc1xs4hkEs2,https://open.spotify.com/album/7uGmyYwDFJbSc1xs4hkEs2
1188,album,3hnGcNi8oqGdwTm3CeniFA,https://i.scdn.co/image/ab67616d0000b273f34c720106690aaa9de4207c,Need You Now,2010-01-01,11,spotify:album:3hnGcNi8oqGdwTm3CeniFA,https://open.spotify.com/album/3hnGcNi8oqGdwTm3CeniFA
1190,album,0VaAFegRAAn4OCg7p4QjN5,https://i.scdn.co/image/ab67616d0000b27334fd9eb8cd48e518598aec55,Spirit,2007,13,spotify:album:0VaAFegRAAn4OCg7p4QjN5,https://open.spotify.com/album/0VaAFegRAAn4OCg7p4QjN5
1191,album,5BGzOpea6At0Nd7tYtYZOP,https://i.scdn.co/image/320ecbc66d8f58dd71537beda51fc1ff46785a7c,Tha Carter III,2008-01-01,16,spotify:album:5BGzOpea6At0Nd7tYtYZOP,https://open.spotify.com/album/5BGzOpea6At0Nd7tYtYZOP
1192,album,0V7TZQmJBgI81M9Z7GWxCI,https://i.scdn.co/image/32f593f51963be544ee098d9477ad60a660d3c72,Shock Value,2007-01-01,17,spotify:album:0V7TZQmJBgI81M9Z7GWxCI,https://open.spotify.com/album/0V7TZQmJBgI81M9Z7GWxCI
1193,album,6uADeQqYkdZqctA1AO6riB,https://i.scdn.co/image/ab67616d0000b273541387af4fde7d5b5def61ab,Jordin Sparks,2007-11-20,13,spotify:album:6uADeQqYkdZqctA1AO6riB,https://open.spotify.com/album/6uADeQqYkdZqctA1AO6riB
1194,album,5t7BjMUC2HXa5cWDOWmnVg,https://i.scdn.co/image/ab67616d0000b273e5998eca652c3d485c3980e8,Exclusive,2007-11-01,16,spotify:album:5t7BjMUC2HXa5cWDOWmnVg,https://open.spotify.com/album/5t7BjMUC2HXa5cWDOWmnVg
1196,album,6D1YpObdaha620Tm54WbIw,https://i.scdn.co/image/ab67616d0000b273861f87fea3ad0f7b23453780,Pocketful Of Sunshine,2008-01-22,13,spotify:album:6D1YpObdaha620Tm54WbIw,https://open.spotify.com/album/6D1YpObdaha620Tm54WbIw
1197,album,0gX4aTUhxNbdFTJBXX7OrH,https://i.scdn.co/image/ab67616d0000b273916132fffa88869bdc617d84,Coco,2007-01-01,12,spotify:album:0gX4aTUhxNbdFTJBXX7OrH,https://open.spotify.com/album/0gX4aTUhxNbdFTJBXX7OrH
1198,album,2pCfqddO9tLKRz3wzSNGsZ,https://i.scdn.co/image/629a0ed9ba8864b0ef0123369ffe6c37f3e994c2,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,16,spotify:album:2pCfqddO9tLKRz3wzSNGsZ,https://open.spotify.com/album/2pCfqddO9tLKRz3wzSNGsZ
1199,album,4mvT7q9PuuBWZcVyUnZP8e,https://i.scdn.co/image/ab67616d0000b273cbe726f1bd6b931278cb4ae9,Not 4 Sale,2008-01-01,15,spotify:album:4mvT7q9PuuBWZcVyUnZP8e,https://open.spotify.com/album/4mvT7q9PuuBWZcVyUnZP8e
1200,album,2tZnyjZ6Orm55gE8bqJ3UG,https://i.scdn.co/image/ab67616d0000b273bcd25f2bbe505682863c3df2,Metro Station,2007-09-18,10,spotify:album:2tZnyjZ6Orm55gE8bqJ3UG,https://open.spotify.com/album/2tZnyjZ6Orm55gE8bqJ3UG
1201,album,1y6Vw5HI0HmLOY2EtzLiPh,https://i.scdn.co/image/ab67616d0000b273e9a305bd79d43957594e6676,Sean Kingston,2008-03-11,14,spotify:album:1y6Vw5HI0HmLOY2EtzLiPh,https://open.spotify.com/album/1y6Vw5HI0HmLOY2EtzLiPh
1202,album,1Lymt1abGCr3J06bbnmWca,https://i.scdn.co/image/ab67616d0000b273c7778d1b204e064c7a517b05,Kala,2007-01-01,12,spotify:album:1Lymt1abGCr3J06bbnmWca,https://open.spotify.com/album/1Lymt1abGCr3J06bbnmWca
1204,album,7mzrIsaAjnXihW3InKjlC3,https://i.scdn.co/image/ace7d0f08676328ec970159bdd7bf0f572465108,Taylor Swift,2006-10-24,15,spotify:album:7mzrIsaAjnXihW3InKjlC3,https://open.spotify.com/album/7mzrIsaAjnXihW3InKjlC3
1207,album,2peB0xKYHSlIWc5boFA6PW,https://i.scdn.co/image/ab67616d0000b2732bca149ba7dd5e45bf233ac3,Here I Stand,2008-05-27,18,spotify:album:2peB0xKYHSlIWc5boFA6PW,https://open.spotify.com/album/2peB0xKYHSlIWc5boFA6PW
1208,album,7FuhgOwoael0fsg9zjZxog,https://i.scdn.co/image/ab67616d0000b273bd700057dfaf6e7c77ea2316,Day & Age,2008-11-18,10,spotify:album:7FuhgOwoael0fsg9zjZxog,https://open.spotify.com/album/7FuhgOwoael0fsg9zjZxog
1209,album,7EZP6OSbWvMZTrEmlBt1HX,https://i.scdn.co/image/113a75089a0979f785807be58ca9a0a858415de2,Freedom,2008-01-01,13,spotify:album:7EZP6OSbWvMZTrEmlBt1HX,https://open.spotify.com/album/7EZP6OSbWvMZTrEmlBt1HX
1210,album,0kys2jaKAiDPfNBd4z7LAg,https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0,Some Hearts,2005-11-14,14,spotify:album:0kys2jaKAiDPfNBd4z7LAg,https://open.spotify.com/album/0kys2jaKAiDPfNBd4z7LAg
1214,album,1uyf3l2d4XYwiEqAb7t7fX,https://i.scdn.co/image/ab67616d0000b27378c6c624a95d1bd02ba1fa02,Doo-Wops & Hooligans,2010-10-05,10,spotify:album:1uyf3l2d4XYwiEqAb7t7fX,https://open.spotify.com/album/1uyf3l2d4XYwiEqAb7t7fX
1217,compilation,0vbWq7ahDlVrz3ltCfSBAN,https://i.scdn.co/image/ab67616d0000b273060388cd948abd898a17616c,NRJ Hits 14,2010-09-13,30,spotify:album:0vbWq7ahDlVrz3ltCfSBAN,https://open.spotify.com/album/0vbWq7ahDlVrz3ltCfSBAN
1218,album,7juIU7sRw4Oj9DpuadXILZ,https://i.scdn.co/image/ab67616d0000b2732a9b8127fc5585dc7afb9ef7,B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,12,spotify:album:7juIU7sRw4Oj9DpuadXILZ,https://open.spotify.com/album/7juIU7sRw4Oj9DpuadXILZ
1219,album,6UHhmTLl9T1scRYLmpHcDX,https://i.scdn.co/image/8f36cacda2277e5ec8889c1656a06a5ad4f040ca,Loud,2010-11-16,11,spotify:album:6UHhmTLl9T1scRYLmpHcDX,https://open.spotify.com/album/6UHhmTLl9T1scRYLmpHcDX
1220,album,12HeDZhPHHzCe7VE0uEYwD,https://i.scdn.co/image/a14523304e066e0446d9355fc29a4aa693e2837f,Euphoria (Standard US/Latin version),2010-01-01,10,spotify:album:12HeDZhPHHzCe7VE0uEYwD,https://open.spotify.com/album/12HeDZhPHHzCe7VE0uEYwD
1222,album,0BkpKcHw606at6Y2cp8kdE,https://i.scdn.co/image/73b0d8a1aee09dd3e14e14ee1b8bd4bd614669f0,The Beginning (Deluxe),2010-01-01,15,spotify:album:0BkpKcHw606at6Y2cp8kdE,https://open.spotify.com/album/0BkpKcHw606at6Y2cp8kdE
1223,single,1OCgIQwTFQqSas8npev01w,https://i.scdn.co/image/ab67616d0000b273afa056a14263e91a317a9566,Tonight (I'm Lovin' You),2010-01-01,1,spotify:album:1OCgIQwTFQqSas8npev01w,https://open.spotify.com/album/1OCgIQwTFQqSas8npev01w
1224,single,3W9fTZ9MCMB8TWXrbjdNt5,https://i.scdn.co/image/ab67616d0000b273b911f456d11005e2fba6fc46,DJ Got Us Fallin' In Love,2010-07-13,1,spotify:album:3W9fTZ9MCMB8TWXrbjdNt5,https://open.spotify.com/album/3W9fTZ9MCMB8TWXrbjdNt5
1225,single,4cJGBartFvMddvZpAaUHf6,https://i.scdn.co/image/ab67616d0000b27368d115c07d61197784413948,Whip My Hair,2010-10-26,1,spotify:album:4cJGBartFvMddvZpAaUHf6,https://open.spotify.com/album/4cJGBartFvMddvZpAaUHf6
1226,album,3XNK8vPk3O1rjhDZyOMJ6n,https://i.scdn.co/image/ab67616d0000b27326a2f5224465a369f8abbf88,lovestrong.,2011-05-10,13,spotify:album:3XNK8vPk3O1rjhDZyOMJ6n,https://open.spotify.com/album/3XNK8vPk3O1rjhDZyOMJ6n
1228,album,0cUNjl7p6LYZJkKXJWzqP0,https://i.scdn.co/image/ab67616d0000b273fe0d9870d6d8e18c3a00c658,For Your Entertainment,2009-11-20,14,spotify:album:0cUNjl7p6LYZJkKXJWzqP0,https://open.spotify.com/album/0cUNjl7p6LYZJkKXJWzqP0
1230,album,7iycyHwOW2plljYIK6I1Zo,https://i.scdn.co/image/ab67616d0000b27322be1a7fbb767d23ec8737f8,Some Nights (Spotify Exclusive),2012-02-21,12,spotify:album:7iycyHwOW2plljYIK6I1Zo,https://open.spotify.com/album/7iycyHwOW2plljYIK6I1Zo
1231,compilation,3XRtJYheUZwYoncHS19u6L,https://i.scdn.co/image/425a2dc6f4c80c88f842adb0a2810704b8633a32,20 #1's: Party Hits,2016-12-30,20,spotify:album:3XRtJYheUZwYoncHS19u6L,https://open.spotify.com/album/3XRtJYheUZwYoncHS19u6L
1233,album,53DrBEDi1AvhWOtCdljUiu,https://i.scdn.co/image/ab67616d0000b273fd20e3d8ad722ecc509c3324,Up All Night,2012-05-25,13,spotify:album:53DrBEDi1AvhWOtCdljUiu,https://open.spotify.com/album/53DrBEDi1AvhWOtCdljUiu
1234,single,19JqA8H10co29VVwazL2Gw,https://i.scdn.co/image/ab67616d0000b273f7382522c80f2f11bdf87c52,Good Feeling,2011-08-29,1,spotify:album:19JqA8H10co29VVwazL2Gw,https://open.spotify.com/album/19JqA8H10co29VVwazL2Gw
1236,album,08DAekBeqPRCsn3XHDwj6b,https://i.scdn.co/image/ab67616d0000b2739dd02ef07eb9456c22aba2f3,Nothing but the Beat,2011-08-31,13,spotify:album:08DAekBeqPRCsn3XHDwj6b,https://open.spotify.com/album/08DAekBeqPRCsn3XHDwj6b
1238,album,1MNvMtEmMMdBXZBDcFNcWj,https://i.scdn.co/image/ab67616d0000b273253e3f8fce535f72a6b2c4ba,Stronger (Deluxe Version),2011-10-24,17,spotify:album:1MNvMtEmMMdBXZBDcFNcWj,https://open.spotify.com/album/1MNvMtEmMMdBXZBDcFNcWj
1240,album,77qMEqlvpP3A9birVl9bjn,https://i.scdn.co/image/2dcdbf27f8c685b6b9b15fc454a7ddff55e1d985,Own The Night,2011-01-01,12,spotify:album:77qMEqlvpP3A9birVl9bjn,https://open.spotify.com/album/77qMEqlvpP3A9birVl9bjn
1241,album,63WdJvk8G9hxJn8u5rswNh,https://i.scdn.co/image/4cae9019efd7a9eaf2eb2d6eaf461614b92c12e8,Take Care (Deluxe),2011-11-15,18,spotify:album:63WdJvk8G9hxJn8u5rswNh,https://open.spotify.com/album/63WdJvk8G9hxJn8u5rswNh
1242,single,1RZ5b4XUJKsrA0fU9FvXvS,https://i.scdn.co/image/ab67616d0000b273c6426fbcc08032da69685753,5 O'Clock,2011-09-23,1,spotify:album:1RZ5b4XUJKsrA0fU9FvXvS,https://open.spotify.com/album/1RZ5b4XUJKsrA0fU9FvXvS
1245,album,37LZ6xX2VT8A65tokiMEyC,https://i.scdn.co/image/25088f65eeec5f54da9f847fd76c6707be590057,Pink Friday,2011-01-01,13,spotify:album:37LZ6xX2VT8A65tokiMEyC,https://open.spotify.com/album/37LZ6xX2VT8A65tokiMEyC
1247,single,0zt41iQaqe4tyVknMwNNps,https://i.scdn.co/image/ab67616d0000b273f06f1900957a4c6b1d2a5e07,Levels,2011-01-01,1,spotify:album:0zt41iQaqe4tyVknMwNNps,https://open.spotify.com/album/0zt41iQaqe4tyVknMwNNps
1248,single,5JM2WMfuniCvsSgoVdbtyb,https://i.scdn.co/image/ab67616d0000b27342a50e1ba45c203e622367c3,Louder EP,2012-10-09,4,spotify:album:5JM2WMfuniCvsSgoVdbtyb,https://open.spotify.com/album/5JM2WMfuniCvsSgoVdbtyb
1249,album,7mLdDLzH8tMpan5Xi8tzB3,https://i.scdn.co/image/ab67616d0000b2730ba04d3e43ecf22ac770280b,Welcome Reality,2011-01-01,14,spotify:album:7mLdDLzH8tMpan5Xi8tzB3,https://open.spotify.com/album/7mLdDLzH8tMpan5Xi8tzB3
1250,album,4eddbruVtOqw8khwxSH6H2,https://i.scdn.co/image/446f1349c1a7e40c97179561f4842d0c96f7de75,Unapologetic (Deluxe),2012-12-11,17,spotify:album:4eddbruVtOqw8khwxSH6H2,https://open.spotify.com/album/4eddbruVtOqw8khwxSH6H2
1251,album,2pjfMmH52fryXVQuWTWOgP,https://i.scdn.co/image/cbd7e76663594d411379d741e93ca38d2ec7644c,Overexposed (Deluxe),2012-01-01,15,spotify:album:2pjfMmH52fryXVQuWTWOgP,https://open.spotify.com/album/2pjfMmH52fryXVQuWTWOgP
1252,album,5x7JzoE4A3DwwU6FPt8qws,https://i.scdn.co/image/cca0ad88805ed8825013273fe81af35d24672c47,Overexposed,2012-01-01,12,spotify:album:5x7JzoE4A3DwwU6FPt8qws,https://open.spotify.com/album/5x7JzoE4A3DwwU6FPt8qws
1254,album,6fABwONLawdFjkDpLx41j8,https://i.scdn.co/image/5f19c3e9d067bc203851fe81dcb6520f20637d4d,Pink Friday ... Roman Reloaded (Deluxe),2012-01-01,21,spotify:album:6fABwONLawdFjkDpLx41j8,https://open.spotify.com/album/6fABwONLawdFjkDpLx41j8
1255,album,6NWYmlHxAME5KXtxrTlUxW,https://i.scdn.co/image/ab67616d0000b2734241433fb84b10663492c0e3,The Lumineers,2012-04-03,11,spotify:album:6NWYmlHxAME5KXtxrTlUxW,https://open.spotify.com/album/6NWYmlHxAME5KXtxrTlUxW
