,index,artist,ranking,song,songurl,titletext,url,year
686,86,John Mayer,"87
",Waiting on the World to Change,/wiki/Waiting_on_the_World_to_Change,Waiting on the World to Change,/wiki/John_Mayer,2006
687,87,Young Jeezy,"88
",Soul Survivor,/wiki/Soul_Survivor_(Young_Jeezy_song),Soul Survivor,/wiki/Young_Jeezy,2006
688,88,The Black Eyed Peas,"89
",Pump It,/wiki/Pump_It,Pump It,/wiki/The_Black_Eyed_Peas,2006
689,89,Eminem,"90
",When I'm Gone,/wiki/When_I%27m_Gone_(Eminem_song),When I'm Gone,/wiki/Eminem,2006
690,90,Madonna,"91
",Hung Up,/wiki/Hung_Up,Hung Up,/wiki/Madonna_(entertainer),2006
691,91,Three 6 Mafia,"92
",Stay Fly,/wiki/Stay_Fly,Stay Fly,/wiki/Three_6_Mafia,2006
692,92,Keyshia Cole,"93
",Love,/wiki/Love_(Keyshia_Cole_song),Love,/wiki/Keyshia_Cole,2006
693,93,Ne-Yo,"94
",When You're Mad,/wiki/When_You%27re_Mad,When You're Mad,/wiki/Ne-Yo,2006
694,94,T.I.,"95
",Why You Wanna,/wiki/Why_You_Wanna,Why You Wanna,/wiki/T.I.,2006
695,95,Pink,"96
",Stupid Girls,/wiki/Stupid_Girls,Stupid Girls,/wiki/Pink_(singer),2006
696,96,Gorillaz,"97
",Feel Good Inc.,/wiki/Feel_Good_Inc.,Feel Good Inc.,/wiki/Gorillaz,2006
697,97,T-Pain,"98
",I'm Sprung,/wiki/I%27m_Sprung,I'm Sprung,/wiki/T-Pain,2006
698,98,Taylor Hicks,"99
",Do I Make You Proud,/wiki/Do_I_Make_You_Proud,Do I Make You Proud,/wiki/Taylor_Hicks,2006
699,99,Teddy Geiger,"100
",For You I Will (Confidence),/wiki/For_You_I_Will_(Confidence),For You I Will (Confidence),/wiki/Teddy_Geiger,2006
700,0,Beyoncé,"1
",Irreplaceable,/wiki/Irreplaceable,Irreplaceable,/wiki/Beyonc%C3%A9,2007
701,1,Rihanna,"2
",Umbrella,/wiki/Umbrella_(song),Umbrella,/wiki/Rihanna,2007
702,2,Gwen Stefani,"3
",The Sweet Escape,/wiki/The_Sweet_Escape_(song),The Sweet Escape,/wiki/Gwen_Stefani,2007
703,3,Fergie,"4
",Big Girls Don't Cry,/wiki/Big_Girls_Don%27t_Cry_(Fergie_song),Big Girls Don't Cry,/wiki/Fergie_(singer),2007
704,4,T-Pain,"5
",Buy U a Drank (Shawty Snappin'),/wiki/Buy_U_a_Drank_(Shawty_Snappin%27),Buy U a Drank (Shawty Snappin'),/wiki/T-Pain,2007
705,5,Carrie Underwood,"6
",Before He Cheats,/wiki/Before_He_Cheats,Before He Cheats,/wiki/Carrie_Underwood,2007
706,6,Plain White T's,"7
",Hey There Delilah,/wiki/Hey_There_Delilah,Hey There Delilah,/wiki/Plain_White_T%27s,2007
707,7,Akon,"8
",I Wanna Love You,/wiki/I_Wanna_Love_You_(Akon_song),I Wanna Love You,/wiki/Akon,2007
708,8,Nelly Furtado,"9
",Say It Right,/wiki/Say_It_Right,Say It Right,/wiki/Nelly_Furtado,2007
709,9,Fergie,"10
",Glamorous,/wiki/Glamorous_(Fergie_song),Glamorous,/wiki/Fergie_(singer),2007
710,10,Akon,"11
",Don't Matter,/wiki/Don%27t_Matter,Don't Matter,/wiki/Akon,2007
711,11,Avril Lavigne,"12
",Girlfriend,/wiki/Girlfriend_(Avril_Lavigne_song),Girlfriend,/wiki/Avril_Lavigne,2007
712,12,Maroon 5,"13
",Makes Me Wonder,/wiki/Makes_Me_Wonder,Makes Me Wonder,/wiki/Maroon_5,2007
713,13,Shop Boyz,"14
",Party Like a Rockstar,/wiki/Party_Like_a_Rockstar,Party Like a Rockstar,/wiki/Shop_Boyz,2007
714,14,Akon,"15
",Smack That,/wiki/Smack_That,Smack That,/wiki/Akon,2007
715,15,Mims,"16
",This Is Why I'm Hot,/wiki/This_Is_Why_I%27m_Hot,This Is Why I'm Hot,/wiki/Mims_(rapper),2007
716,16,Daughtry,"17
",It's Not Over,/wiki/It%27s_Not_Over_(Daughtry_song),It's Not Over,/wiki/Daughtry_(band),2007
717,17,Timbaland,"18
",The Way I Are,/wiki/The_Way_I_Are,The Way I Are,/wiki/Timbaland,2007
718,18,Fergie,"19
",Fergalicious,/wiki/Fergalicious,Fergalicious,/wiki/Fergie_(singer),2007
719,19,Soulja Boy Tell 'Em,"20
",Crank That (Soulja Boy),/wiki/Crank_That_(Soulja_Boy),Crank That (Soulja Boy),/wiki/Soulja_Boy,2007
720,20,Timbaland,"21
",Give It to Me,/wiki/Give_It_to_Me_(Timbaland_song),Give It to Me,/wiki/Timbaland,2007
721,21,Justin Timberlake,"22
",What Goes Around... Comes Around,/wiki/What_Goes_Around..._Comes_Around,What Goes Around... Comes Around,/wiki/Justin_Timberlake,2007
722,22,Gym Class Heroes,"23
",Cupid's Chokehold,/wiki/Cupid%27s_Chokehold,Cupid's Chokehold,/wiki/Gym_Class_Heroes,2007
723,23,The Fray,"24
",How to Save a Life,/wiki/How_to_Save_a_Life_(song),How to Save a Life,/wiki/The_Fray,2007
724,24,Daughtry,"25
",Home,/wiki/Home_(Daughtry_song),Home,/wiki/Daughtry_(band),2007
725,25,Justin Timberlake,"26
",My Love,/wiki/My_Love_(Justin_Timberlake_song),My Love,/wiki/Justin_Timberlake,2007
726,26,Kanye West,"27
",Stronger,/wiki/Stronger_(Kanye_West_song),Stronger,/wiki/Kanye_West,2007
727,27,Jim Jones,"28
",We Fly High,/wiki/We_Fly_High,We Fly High,/wiki/Jim_Jones_(rapper),2007
728,28,Pink,"29
",U + Ur Hand,/wiki/U_%2B_Ur_Hand,U + Ur Hand,/wiki/Pink_(singer),2007
729,29,Unk,"30
",Walk It Out,/wiki/Walk_It_Out_(Unk_song),Walk It Out,/wiki/Unk,2007
