,acousticness,danceability,duration_ms,energy,explict,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,uri,url,valence,Hit
115,0.5720000000000001,0.41600000000000004,210306,0.773,False,6hdkw1wzhIRYPlYDUtCY5m,0.0,0.105,-3.784,Love Me Now,62,0.0949,122.65,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,https://open.spotify.com/track/6hdkw1wzhIRYPlYDUtCY5m,0.716,n
116,0.0353,0.6629999999999999,197933,0.713,True,17Fd6Yb7mSbinKG8LoWfFl,7.68e-06,0.0843,-6.647,I Took A Pill In Ibiza - Seeb Remix,17,0.11199999999999999,101.965,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,0.69,n
117,0.0369,0.736,166138,0.879,False,6lDo13SSgTv0WbyUQKgnjk,0.000736,0.233,-3.782,Light It Up (feat. Nyla & Fuse ODG) - Remix,54,0.0696,107.976,spotify:track:6lDo13SSgTv0WbyUQKgnjk,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk,0.757,n
118,0.0472,0.628,211666,0.698,False,27SdWb2rFzO6GWiYDBTD9j,0.00143,0.0907,-5.608,Cheap Thrills,77,0.105,89.976,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,0.732,y
119,0.0752,0.725,219320,0.534,True,14WWzenpaEgQZlqPq2nk4v,0.0,0.0919,-6.2379999999999995,Work,17,0.0946,91.97399999999999,spotify:track:14WWzenpaEgQZlqPq2nk4v,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,0.5579999999999999,y
120,0.0797,0.654,200786,0.76,False,69bp2EbF7Q2rqc5N3ylezZ,0.0,0.299,-3.6689999999999996,Sorry,22,0.045,99.945,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,0.41,y
121,0.408,0.486,273684,0.652,False,1I8tHoNBFTuoJAlh4hfVVE,6.63e-05,0.077,-7.226,Firestone (feat. Conrad Sewell),78,0.052000000000000005,113.055,spotify:track:1I8tHoNBFTuoJAlh4hfVVE,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE,0.391,n
122,0.157,0.532,208373,0.8690000000000001,False,1i1fxkWeaMmKEB4T7zqbzK,0.0050799999999999994,0.136,-5.093999999999999,Don't Let Me Down,81,0.172,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,0.42200000000000004,y
123,0.132,0.59,208120,0.797,False,09mhA1SJjMHniZPF4Hcihn,0.0,0.0846,-4.901,Company,12,0.0614,94.948,spotify:track:09mhA1SJjMHniZPF4Hcihn,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn,0.425,n
124,0.156,0.774,219146,0.764,True,2aFiaMXmWsM3Vj72F9ksBl,0.0,0.0383,-5.445,Cake By The Ocean,17,0.0518,118.99700000000001,spotify:track:2aFiaMXmWsM3Vj72F9ksBl,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,0.912,n
125,0.06,0.67,222040,0.8370000000000001,False,14uKsvPJ0quzQvdB6f7Dur,0.0006940000000000001,0.159,-4.031000000000001,Call on Me - Ryan Riback Remix,65,0.0362,105.00299999999999,spotify:track:14uKsvPJ0quzQvdB6f7Dur,https://open.spotify.com/track/14uKsvPJ0quzQvdB6f7Dur,0.71,n
126,0.0186,0.757,251466,0.672,True,40YcuQysJ0KlGQTeGUosTC,0.0,0.158,-6.524,"Me, Myself & I",78,0.0955,111.99600000000001,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,0.382,y
127,0.0935,0.8190000000000001,219159,0.9129999999999999,False,1vvNmPOiUuyCbgWmtc6yfm,3.72e-05,0.161,-3.0589999999999997,My Way,78,0.0427,119.98899999999999,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,0.536,y
128,0.133,0.6940000000000001,201122,0.7120000000000001,False,0r4SsYcwvd8URat6AS2m6f,0.0,0.21100000000000002,-3.923,Lush Life,23,0.046,98.022,spotify:track:0r4SsYcwvd8URat6AS2m6f,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f,0.799,n
129,0.0203,0.586,220573,0.701,False,0g5EKLgdKvNlln7TNqBByK,0.0,0.055,-5.3260000000000005,Middle,78,0.0416,104.95700000000001,spotify:track:0g5EKLgdKvNlln7TNqBByK,https://open.spotify.com/track/0g5EKLgdKvNlln7TNqBByK,0.254,y
130,0.0544,0.518,249499,0.8109999999999999,False,6w4LIVTA1966CdmIo0yG4x,0.0,0.0806,-4.825,Colors,5,0.0589,100.04,spotify:track:6w4LIVTA1966CdmIo0yG4x,https://open.spotify.com/track/6w4LIVTA1966CdmIo0yG4x,0.568,n
131,0.08,0.7929999999999999,195546,0.7290000000000001,False,0tICYNayWWhH9GPeFrfjfD,3.1e-05,0.317,-4.77,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,19,0.0394,121.97200000000001,spotify:track:0tICYNayWWhH9GPeFrfjfD,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,0.488,n
132,0.409,0.7240000000000001,181880,0.628,False,2zDt2TfQbxiSPjTVJTgbwz,0.0,0.105,-4.218999999999999,Starving,16,0.0962,99.898,spotify:track:2zDt2TfQbxiSPjTVJTgbwz,https://open.spotify.com/track/2zDt2TfQbxiSPjTVJTgbwz,0.524,y
133,0.16699999999999998,0.629,181935,0.882,False,2yox08l4o0FnOL8Ih4yEfM,0.711,0.0693,-3.458,Feel Good,64,0.0312,123.973,spotify:track:2yox08l4o0FnOL8Ih4yEfM,https://open.spotify.com/track/2yox08l4o0FnOL8Ih4yEfM,0.324,n
134,0.0123,0.667,236001,0.83,False,6JV2JOEocMgcZxYSZelKcc,0.0,0.191,-5.715,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",79,0.0749,113.03,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,0.701,n
135,0.165,0.6809999999999999,230453,0.594,True,5aAx2yezTd8zXrkmtKl66Z,3.49e-06,0.134,-7.028,Starboy,18,0.282,186.054,spotify:track:5aAx2yezTd8zXrkmtKl66Z,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.535,y
136,0.00784,0.7909999999999999,173986,0.619,False,1xznGGDReH1oQq0xzbwXa3,0.004229999999999999,0.35100000000000003,-5.886,One Dance,22,0.0532,103.98899999999999,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.371,y
